indice;codes;meta
"Índice de Confiança Empresarial (ICE)";["1428467","1428469","1428471"];["Total","Atual","Expectativas"]
"Indicador de Incerteza da Economia Brasil (IIE-Br)";["1428452","1463188","1463189"];["Total","Componente Mídia","Componente Expectativas"]
"Indicador Antecedente de Emprego (IAEmp)";["1416205"];["IAEmp"]
"Índice de Variação de Aluguéis Residenciais (IVAR)";["1463201","1463202","1463203","1463204","1463205"];["Média Nacional","São Paulo","Rio de Janeiro","Belo Horizonte","Porto Alegre"]
"IGP-DI e os componentes: IPA-DI, IPC-DI e INCC-DI";["161384","1416651","1431264","1464783"];["IGP-DI","IPA-DI","IPC-DI","INCC-DI"]
"IGP-10 e os componentes: IPA-10, IPC-10 e INCC-10";["209425","1476582","1430841","1464331"];["IGP-10","IPA-10","IPC-10","INCC-10"]
"Monitor do PIB";["1428682","1428676"];["PIB a preços de mercado com ajuste sazonal","PIB a preços de mercado"]
"Sondagem do Consumidor";["1006982","1006984","1006983"];["Total","Expectativas","Atual"]
"Sondagem da Construção";["1416232","1416233","1416234"];["Total","Expectativas","Atual"]
"Sondagem da Indústria";["1416212","1416214","1416213"];["Total","Expectativas","Atual"]
"Sondagem do Comércio";["1416226","1416228","1416227"];["Total","Expectativas","Atual"]
"IGP-M e os componentes: IPA-M e IPC-M";["200045","1477432","1431687"];["IGP-M","IPA-M","IPC-M"]
"Sondagem de Serviços";["1416217","1416219","1416218"];["Total","Expectativas","Atual"]
